
2024-09-20 14:17:33,415 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:34,410 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:56,906 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:21:36,346 DEBUG http_protocol HTTP close for ['172.24.0.7', 44966]
2024-09-20 14:21:36,347 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44966]
2024-09-20 14:21:36,347 INFO runserver HTTP GET /api/v1/users/top-players/ 200 [0.15, 172.24.0.7:44966]
2024-09-20 14:21:36,360 DEBUG http_protocol HTTP 301 response started for ['172.24.0.7', 44978]
2024-09-20 14:21:36,360 DEBUG http_protocol HTTP close for ['172.24.0.7', 44978]
2024-09-20 14:21:36,361 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44978]
2024-09-20 14:21:36,361 INFO runserver HTTP GET /api/v1/users/online-players 301 [0.14, 172.24.0.7:44978]
2024-09-20 14:21:36,365 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44998]
2024-09-20 14:21:36,367 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 44986]
2024-09-20 14:21:36,368 DEBUG http_protocol HTTP close for ['172.24.0.7', 44986]
2024-09-20 14:21:36,369 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44986]
2024-09-20 14:21:36,371 INFO runserver HTTP GET /api/v1/game/Tournament-announcements/ 200 [0.13, 172.24.0.7:44986]
2024-09-20 14:21:36,385 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 45008]
2024-09-20 14:21:36,426 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 44998]
2024-09-20 14:21:36,428 DEBUG http_protocol HTTP close for ['172.24.0.7', 44998]
2024-09-20 14:21:36,428 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44998]
2024-09-20 14:21:36,429 INFO runserver HTTP GET /api/v1/users/rank-logs/ 200 [0.06, 172.24.0.7:44998]
2024-09-20 14:21:36,432 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 45008]
2024-09-20 14:21:36,432 DEBUG http_protocol HTTP close for ['172.24.0.7', 45008]
2024-09-20 14:21:36,434 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 45008]
2024-09-20 14:21:36,434 INFO runserver HTTP GET /api/v1/users/online-players/ 200 [0.05, 172.24.0.7:45008]
2024-09-20 14:21:40,412 DEBUG ws_protocol WebSocket closed for ['172.24.0.7', 44890]
2024-09-20 14:21:40,412 INFO runserver WebSocket DISCONNECT /ws/user/connect/ [172.24.0.7:44890]
2024-09-20 14:21:44,626 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60216]
2024-09-20 14:21:44,632 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60230]
2024-09-20 14:21:44,638 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60234]
2024-09-20 14:21:44,642 INFO runserver WebSocket HANDSHAKING /ws/user/connect/ [172.24.0.7:60236]
2024-09-20 14:21:44,642 DEBUG http_protocol Upgraded connection ['172.24.0.7', 60236] to WebSocket
2024-09-20 14:21:44,712 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60246]
2024-09-20 14:21:44,728 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60216]
2024-09-20 14:21:44,729 DEBUG http_protocol HTTP close for ['172.24.0.7', 60216]
2024-09-20 14:21:44,733 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60216]
2024-09-20 14:21:44,734 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.11, 172.24.0.7:60216]
2024-09-20 14:21:44,750 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60254]
2024-09-20 14:21:44,753 DEBUG ws_protocol WebSocket ['172.24.0.7', 60236] open and established
2024-09-20 14:21:44,754 INFO runserver WebSocket CONNECT /ws/user/connect/ [172.24.0.7:60236]
2024-09-20 14:21:44,754 DEBUG ws_protocol WebSocket ['172.24.0.7', 60236] accepted by application
2024-09-20 14:21:44,758 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60234]
